Time,ALUOp,Operand1,,Operand2,,ALUOut,,Zero,
0,000,0000000000000000,     0,0000000000000000,     0,0000000000000000,     0,1,
5,001,0000000000000000,     0,0000000000000000,     0,0000000000000000,     0,1,
10,010,0000000000000000,     0,0000000000000000,     0,0000000000000000,     0,1,
15,011,0000000000000000,     0,0000000000000000,     0,0000000000000000,     0,1,
20,100,0000000000000000,     0,0000000000000000,     0,0000000000000000,     0,1,
25,101,0000000000000000,     0,0000000000000000,     0,0000000000000000,     0,1,
30,110,0000000000000000,     0,0000000000000000,     0,0000000000000000,     0,1,
35,111,0000000000000000,     0,0000000000000000,     0,0000000000000000,     0,1,
40,000,0000000000011110,    30,0000000000000011,     3,0000000000000000,     0,1,
45,001,0000000000011110,    30,0000000000000011,     3,0000000000100001,    33,0,
50,010,0000000000011110,    30,0000000000000011,     3,0000000000011011,    27,0,
55,011,0000000000011110,    30,0000000000000011,     3,0000000000000010,     2,0,
60,100,0000000000011110,    30,0000000000000011,     3,0000000000011111,    31,0,
65,101,0000000000011110,    30,0000000000000011,     3,0000000000000000,     0,1,
70,110,0000000000011110,    30,0000000000000011,     3,0000000011110000,   240,0,
75,111,0000000000011110,    30,0000000000000011,     3,0000000000000011,     3,0,
80,000,1111111111110110,   -10,0000000000000010,     2,0000000000000000,     0,1,
85,001,1111111111110110,   -10,0000000000000010,     2,1111111111111000,    -8,0,
90,010,1111111111110110,   -10,0000000000000010,     2,1111111111110100,   -12,0,
95,011,1111111111110110,   -10,0000000000000010,     2,0000000000000010,     2,0,
100,100,1111111111110110,   -10,0000000000000010,     2,1111111111110110,   -10,0,
105,101,1111111111110110,   -10,0000000000000010,     2,0000000000000001,     1,0,
110,110,1111111111110110,   -10,0000000000000010,     2,1111111111011000,   -40,0,
115,111,1111111111110110,   -10,0000000000000010,     2,1111111111111101,    -3,0,
120,000,0000000000001010,    10,1111111111111100,    -4,0000000000000000,     0,1,
125,001,0000000000001010,    10,1111111111111100,    -4,0000000000000110,     6,0,
130,010,0000000000001010,    10,1111111111111100,    -4,0000000000001110,    14,0,
135,011,0000000000001010,    10,1111111111111100,    -4,0000000000001000,     8,0,
140,100,0000000000001010,    10,1111111111111100,    -4,1111111111111110,    -2,0,
145,101,0000000000001010,    10,1111111111111100,    -4,0000000000000000,     0,1,
150,110,0000000000001010,    10,1111111111111100,    -4,0000000000000000,     0,1,
155,111,0000000000001010,    10,1111111111111100,    -4,0000000000000000,     0,1,
160,000,1111111111111111,    -1,1111111111110111,    -9,0000000000000000,     0,1,
165,001,1111111111111111,    -1,1111111111110111,    -9,1111111111110110,   -10,0,
170,010,1111111111111111,    -1,1111111111110111,    -9,0000000000001000,     8,0,
175,011,1111111111111111,    -1,1111111111110111,    -9,1111111111110111,    -9,0,
180,100,1111111111111111,    -1,1111111111110111,    -9,1111111111111111,    -1,0,
185,101,1111111111111111,    -1,1111111111110111,    -9,0000000000000000,     0,1,
190,110,1111111111111111,    -1,1111111111110111,    -9,0000000000000000,     0,1,
195,111,1111111111111111,    -1,1111111111110111,    -9,1111111111111111,    -1,0,
